id,used,name,region,stemmedName,extractedName,latitude,longitude
2605,True,Aliskulma,other,aliskulm,Aliskulma,60.49213,22.36531
1937,True,Alistaro,other,alistaro,Alistaro,,
10903,True,Aljärvi,other,aljärv,Aljärvi,,
6849,True,Alkkila,other,alkkil,Alkkila,,
9193,True,Alma,other,alm,Alma,60.13029,21.66047
5960,True,Alppila,other,alppil,Alppila,60.18989,24.94293
10184,True,Aluksi,other,alu,Aluksi,,
4454,True,Alueellisen,other,alueellis,Alueellisen,,
11446,True,Aluttussa,,alutu,Aluttussa,,
10189,True,Alvajärvi,other,alvajärv,Alvajärvi,63.44278,25.3598
6106,True,Alvatniemi,karelia,alvatniem,Alvatniemi,,
8941,True,Alvettula,other,alvettul,Alvettula,61.20109,24.48617
12333,True,Alvola,other,alvol,Alvola,,
1229,True,Am,,am,Am,,
8870,True,Amalia,other,amal,Amalia,,
3191,True,Ambomaa,other,ambom,Ambomaa,,
8716,True,Amerikka,karelia,amerik,Amerikka,,
7594,True,Amerikassavv,other,amerikassav,Amerikassavv,,
8015,True,Äminnefors,other,äminnefors,Äminnefors,,
9585,True,Ämmäkoski,other,ämmäkosk,Ämmäkoski,,
1995,True,Ämmälä,other,ämmäl,Ämmälä,66.60205,27.63351
1280,True,Ämmänsaari,other,ämmänsaar,Ämmänsaari,64.88118,28.91069
7714,True,Ämmänsaarias,other,ämmänsaarias,Ämmänsaarias,,
3614,True,Ämmäsuonmäki,karelia,ämmäsuonmäk,Ämmäsuonmäki,,
7005,True,Ämmätsä,other,ämmäts,Ämmätsä,61.42145,24.83071
11944,True,Ampiala,karelia,ampial,Ampiala,,
5882,True,Amrea,karelia,amr,Amrea,,
9793,True,Amurf,other,amurf,Amurf,,
8691,True,Anni,other,an,An,,
10351,True,Anastasia,other,anastas,Anastasia,,
6702,True,Anbomaa,other,anbom,Anbomaa,,
5669,True,Anfrea,karelia,anfr,Anfrea,,
787,True,Angelniemi,other,angelniem,Angelniemi,60.29769,22.89589
11365,True,Angelniemikk,other,angelniemik,Angelniemikk,,
4051,True,Angolniemi,other,angolniem,Angolniemi,,
5559,True,Anirea,karelia,anir,Anirea,,
6558,True,Anjaa,other,anj,Anjaa,,
2434,True,Anjala,karelia,anjal,Anjala,60.3,30.5
5001,True,Anjalakk,other,anjalak,Anjalakk,,
